State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
Assam,Jorhat,Jorhat APMC,Tea,Other,FAQ,30/01/2026,2739.43,3533.3,3024.46
West Bengal,Kolkata,Kolkata APMC,Bhindi(Ladies Finger),Other,FAQ,30/01/2026,2032.03,2424.44,2251.35
Gujarat,Rajkot,Rajkot APMC,Coriander(Leaves),Other,FAQ,30/01/2026,3244.72,3717.83,3427.89
Tamil Nadu,Coimbatore,Coimbatore APMC,Bitter gourd,Other,FAQ,30/01/2026,3343.28,4142.46,3590.76
Maharashtra,Kolhapur,Kolhapur APMC,Banana,Other,FAQ,30/01/2026,2580.49,3340.97,2866.67
Maharashtra,Mumbai,Mumbai APMC,Bengal Gram(Gram)(Whole),Other,FAQ,30/01/2026,4378.99,5526.32,4933.44
Andhra Pradesh,Tirupati,Tirupati APMC,Cotton,Other,Local,30/01/2026,4605.73,6244.42,5303.0
Rajasthan,Udaipur,Udaipur APMC,Onion,Other,Local,30/01/2026,1596.77,1874.12,1717.47
Assam,Nagaon,Nagaon APMC,Orange,Other,FAQ,30/01/2026,2885.56,3534.56,3104.42
Tamil Nadu,Madurai,Madurai APMC,Bitter gourd,Other,Local,30/01/2026,3180.36,4234.09,3718.75
Gujarat,Ahmedabad,Ahmedabad APMC,Coriander(Leaves),Other,Local,30/01/2026,3606.13,4271.78,3972.01
Maharashtra,Mumbai,Mumbai APMC,Green Chilli,Other,FAQ,30/01/2026,4427.58,5030.35,4691.58
Maharashtra,Nashik,Nashik APMC,Green Chilli,Other,FAQ,30/01/2026,4220.57,5263.26,4572.6
Rajasthan,Ajmer,Ajmer APMC,Orange,Other,FAQ,30/01/2026,2581.31,3320.77,2772.64
Punjab,Patiala,Patiala APMC,Mustard,Other,Local,30/01/2026,5893.41,6605.13,6234.7
West Bengal,Durgapur,Durgapur APMC,Tea,Other,Local,30/01/2026,2389.92,2896.75,2588.37
Madhya Pradesh,Jabalpur,Jabalpur APMC,Coriander(Leaves),Other,FAQ,30/01/2026,2512.51,3231.62,2789.03
Rajasthan,Udaipur,Udaipur APMC,Bengal Gram(Gram)(Whole),Other,FAQ,30/01/2026,4984.6,5724.43,5324.14
Madhya Pradesh,Indore,Indore APMC,Black Gram (Urd Beans)(Whole),Other,FAQ,30/01/2026,4339.95,5466.25,5025.86
Odisha,Bhubaneswar,Bhubaneswar APMC,Bhindi(Ladies Finger),Other,FAQ,30/01/2026,2649.1,3254.29,2792.23
Odisha,Berhampur,Berhampur APMC,Paddy(Common),Other,FAQ,30/01/2026,1754.78,2137.37,1896.63
Odisha,Rourkela,Rourkela APMC,Sweet Potato,Other,Local,30/01/2026,1486.25,1848.86,1663.79
Karnataka,Mangalore,Mangalore APMC,Cabbage,Other,Local,30/01/2026,1074.99,1309.97,1192.6
Maharashtra,Pune,Pune APMC,Green Chilli,Other,FAQ,30/01/2026,4949.97,5533.98,5234.66
Gujarat,Vadodara,Vadodara APMC,Banana,Other,Local,30/01/2026,2873.61,3334.95,3118.46
Nagaland,Kohima,Kohima APMC,Orange,Other,FAQ,30/01/2026,2974.17,3783.46,3322.59
Karnataka,Mangalore,Mangalore APMC,Cotton,Other,FAQ,30/01/2026,6125.59,7800.46,6828.51
Haryana,Ambala,Ambala APMC,Onion,Other,FAQ,30/01/2026,1801.4,2357.98,2093.0
Uttar Pradesh,Kanpur,Kanpur APMC,Water Melon,Other,FAQ,30/01/2026,1089.06,1403.28,1248.73
Karnataka,Belgaum,Belgaum APMC,Cabbage,Other,FAQ,30/01/2026,1321.28,1685.12,1524.62
Madhya Pradesh,Gwalior,Gwalior APMC,Coriander(Leaves),Other,FAQ,30/01/2026,2470.71,3272.07,2818.43
Rajasthan,Kota,Kota APMC,Bengal Gram(Gram)(Whole),Other,Local,30/01/2026,4039.63,4553.11,4302.52
Tamil Nadu,Trichy,Trichy APMC,Green Gram (Moong)(Whole),Other,FAQ,30/01/2026,6823.31,9057.13,7549.13
Odisha,Cuttack,Cuttack APMC,Bhindi(Ladies Finger),Other,FAQ,30/01/2026,2613.19,3392.26,2956.87
Karnataka,Hubli,Hubli APMC,Bitter gourd,Other,FAQ,30/01/2026,2937.1,3585.16,3223.66
Rajasthan,Jaipur,Jaipur APMC,Bengal Gram(Gram)(Whole),Other,FAQ,30/01/2026,4491.7,5720.76,4795.3
Uttar Pradesh,Varanasi,Varanasi APMC,Water Melon,Other,FAQ,30/01/2026,870.16,1167.86,987.25
Karnataka,Belgaum,Belgaum APMC,Cotton,Other,FAQ,30/01/2026,5230.26,6734.41,5791.11
West Bengal,Kolkata,Kolkata APMC,Tea,Other,FAQ,30/01/2026,2160.62,2703.58,2421.18
Rajasthan,Udaipur,Udaipur APMC,Orange,Other,FAQ,30/01/2026,3230.62,4011.81,3483.41
Karnataka,Belgaum,Belgaum APMC,Bitter gourd,Other,Local,30/01/2026,3077.39,4067.9,3487.24
Gujarat,Surat,Surat APMC,Banana,Other,Local,30/01/2026,2843.42,3564.41,3157.37
Madhya Pradesh,Gwalior,Gwalior APMC,Black Gram (Urd Beans)(Whole),Other,Local,30/01/2026,4574.17,5737.18,4919.85
West Bengal,Asansol,Asansol APMC,Bhindi(Ladies Finger),Other,FAQ,30/01/2026,2254.48,2811.37,2580.79
Uttar Pradesh,Agra,Agra APMC,Water Melon,Other,FAQ,30/01/2026,1154.48,1516.47,1302.59
Karnataka,Hubli,Hubli APMC,Cabbage,Other,Local,30/01/2026,1497.22,1746.4,1581.29
Andhra Pradesh,Vijayawada,Vijayawada APMC,Cotton,Other,FAQ,30/01/2026,6219.07,7611.84,6792.12
Haryana,Karnal,Karnal APMC,Onion,Other,FAQ,30/01/2026,1967.85,2575.12,2203.88
Haryana,Hisar,Hisar APMC,Onion,Other,FAQ,30/01/2026,2329.35,2892.24,2553.28
Punjab,Bathinda,Bathinda APMC,Mustard,Other,Local,30/01/2026,6078.2,7626.46,6714.74
Maharashtra,Nagpur,Nagpur APMC,Green Chilli,Other,FAQ,30/01/2026,4438.81,5946.49,5058.81
Rajasthan,Kota,Kota APMC,Orange,Other,Local,30/01/2026,2951.02,3639.07,3249.47
Madhya Pradesh,Ujjain,Ujjain APMC,Coriander(Leaves),Other,FAQ,30/01/2026,3359.74,4162.05,3613.72
Odisha,Sambalpur,Sambalpur APMC,Paddy(Common),Other,Local,30/01/2026,1756.61,2081.03,1970.73
Odisha,Cuttack,Cuttack APMC,Sweet Potato,Other,FAQ,30/01/2026,1519.48,2069.14,1759.19
Rajasthan,Jodhpur,Jodhpur APMC,Bengal Gram(Gram)(Whole),Other,FAQ,30/01/2026,3815.84,4928.22,4135.63
Karnataka,Mangalore,Mangalore APMC,Bitter gourd,Other,FAQ,30/01/2026,3055.68,3612.21,3239.38
Gujarat,Rajkot,Rajkot APMC,Banana,Other,FAQ,30/01/2026,2712.48,3250.83,3052.11
Madhya Pradesh,Bhopal,Bhopal APMC,Black Gram (Urd Beans)(Whole),Other,Local,30/01/2026,4437.23,6018.38,5062.36
West Bengal,Siliguri,Siliguri APMC,Bhindi(Ladies Finger),Other,Local,30/01/2026,2061.11,2673.04,2365.42
West Bengal,Howrah,Howrah APMC,Tea,Other,FAQ,30/01/2026,2647.9,3216.09,2904.71
Punjab,Jalandhar,Jalandhar APMC,Mustard,Other,FAQ,30/01/2026,6071.62,7083.59,6391.19
Bihar,Darbhanga,Darbhanga APMC,Bhindi(Ladies Finger),Other,FAQ,30/01/2026,2274.2,2941.44,2587.15
Madhya Pradesh,Gwalior,Gwalior APMC,Green Chilli,Other,FAQ,30/01/2026,3172.79,3783.86,3573.62
Uttar Pradesh,Agra,Agra APMC,Coriander(Leaves),Other,FAQ,30/01/2026,3497.38,4116.71,3781.82
Madhya Pradesh,Gwalior,Gwalior APMC,Bengal Gram(Gram)(Whole),Other,FAQ,30/01/2026,4148.47,5299.56,4709.21
Andhra Pradesh,Visakhapatnam,Visakhapatnam APMC,Bitter gourd,Other,Local,30/01/2026,2962.13,3620.23,3396.24
Tamil Nadu,Trichy,Trichy APMC,Banana,Other,FAQ,30/01/2026,3009.46,3526.72,3182.04
Andhra Pradesh,Visakhapatnam,Visakhapatnam APMC,Black Gram (Urd Beans)(Whole),Other,Local,30/01/2026,5351.16,6441.97,5681.72
Kerala,Thiruvananthapuram,Thiruvananthapuram APMC,Paddy(Common),Other,Local,30/01/2026,2428.96,3281.87,2770.98
Bihar,Darbhanga,Darbhanga APMC,Sweet Potato,Other,Local,30/01/2026,1468.04,1778.08,1577.02
Uttar Pradesh,Meerut,Meerut APMC,Bhindi(Ladies Finger),Other,Local,30/01/2026,2130.38,2489.31,2302.67
Haryana,Panipat,Panipat APMC,Cotton,Other,FAQ,30/01/2026,5613.62,6728.86,6228.19
Madhya Pradesh,Bhopal,Bhopal APMC,Onion,Other,Local,30/01/2026,2056.32,2447.21,2269.83
Madhya Pradesh,Gwalior,Gwalior APMC,Orange,Other,FAQ,30/01/2026,3162.77,4130.51,3699.58
Tamil Nadu,Coimbatore,Coimbatore APMC,Water Melon,Other,FAQ,30/01/2026,979.77,1161.86,1042.04
Gujarat,Rajkot,Rajkot APMC,Green Chilli,Other,Local,30/01/2026,3540.61,4459.66,3946.85
Madhya Pradesh,Jabalpur,Jabalpur APMC,Orange,Other,FAQ,30/01/2026,2789.49,3644.61,3158.1
Karnataka,Mysore,Mysore APMC,Tomato,Other,Local,30/01/2026,1630.55,2118.28,1800.09
Andhra Pradesh,Kurnool,Kurnool APMC,Coffee,Other,FAQ,30/01/2026,11665.55,15324.12,12790.25
Uttar Pradesh,Varanasi,Varanasi APMC,Coriander(Leaves),Other,Local,30/01/2026,2997.9,3996.59,3474.96
Madhya Pradesh,Jabalpur,Jabalpur APMC,Bengal Gram(Gram)(Whole),Other,Local,30/01/2026,3911.99,4859.06,4264.5
Tamil Nadu,Chennai,Chennai APMC,Water Melon,Other,FAQ,30/01/2026,1087.2,1314.4,1227.47
Andhra Pradesh,Vijayawada,Vijayawada APMC,Black Gram (Urd Beans)(Whole),Other,FAQ,30/01/2026,5476.6,7213.59,6156.57
Bihar,Patna,Patna APMC,Bhindi(Ladies Finger),Other,Local,30/01/2026,2365.63,2749.99,2493.11
Andhra Pradesh,Vijayawada,Vijayawada APMC,Bitter gourd,Other,FAQ,30/01/2026,3087.88,3720.2,3314.63
Odisha,Sambalpur,Sambalpur APMC,Cabbage,Other,FAQ,30/01/2026,1385.66,1656.89,1459.98
Maharashtra,Pune,Pune APMC,Banana,Other,FAQ,30/01/2026,2566.05,3386.24,2961.4
Gujarat,Vadodara,Vadodara APMC,Green Chilli,Other,Local,30/01/2026,3945.99,4609.1,4367.44
Andhra Pradesh,Tirupati,Tirupati APMC,Coffee,Other,FAQ,30/01/2026,11961.03,15517.23,13278.51
Karnataka,Mangalore,Mangalore APMC,Tomato,Other,FAQ,30/01/2026,1543.06,1840.22,1625.78
Andhra Pradesh,Guntur,Guntur APMC,Coffee,Other,Local,30/01/2026,11745.36,13605.97,12562.32
Madhya Pradesh,Bhopal,Bhopal APMC,Cotton,Other,Local,30/01/2026,5799.71,7340.42,6322.88
Tamil Nadu,Salem,Salem APMC,Water Melon,Other,FAQ,30/01/2026,1245.42,1481.63,1332.02
Odisha,Rourkela,Rourkela APMC,Cabbage,Other,FAQ,30/01/2026,1213.89,1529.08,1399.82
Gujarat,Jamnagar,Jamnagar APMC,Onion,Other,Local,30/01/2026,1799.79,2279.28,1990.56
Andhra Pradesh,Tirupati,Tirupati APMC,Black Gram (Urd Beans)(Whole),Other,Local,30/01/2026,5140.36,5909.68,5581.94
Uttar Pradesh,Varanasi,Varanasi APMC,Bhindi(Ladies Finger),Other,FAQ,30/01/2026,2459.31,2940.56,2751.84
Gujarat,Jamnagar,Jamnagar APMC,Green Chilli,Other,FAQ,30/01/2026,4103.84,4945.19,4398.43
Uttar Pradesh,Meerut,Meerut APMC,Coriander(Leaves),Other,FAQ,30/01/2026,2958.25,3532.98,3153.09
Madhya Pradesh,Indore,Indore APMC,Onion,Other,FAQ,30/01/2026,2041.49,2277.85,2160.78
Madhya Pradesh,Bhopal,Bhopal APMC,Bengal Gram(Gram)(Whole),Other,FAQ,30/01/2026,4696.22,5920.77,5073.52
Bihar,Bhagalpur,Bhagalpur APMC,Sweet Potato,Other,FAQ,30/01/2026,1388.51,1734.32,1524.62
Madhya Pradesh,Bhopal,Bhopal APMC,Orange,Other,FAQ,30/01/2026,2617.71,3128.96,2958.62
Andhra Pradesh,Guntur,Guntur APMC,Bitter gourd,Other,FAQ,30/01/2026,3405.55,4345.51,3865.29
Tamil Nadu,Salem,Salem APMC,Banana,Other,Local,30/01/2026,2371.76,3030.03,2628.23
Andhra Pradesh,Guntur,Guntur APMC,Black Gram (Urd Beans)(Whole),Other,FAQ,30/01/2026,4926.1,6027.35,5571.07
Uttar Pradesh,Agra,Agra APMC,Bhindi(Ladies Finger),Other,FAQ,30/01/2026,2702.09,3124.5,2947.51
Tamil Nadu,Madurai,Madurai APMC,Water Melon,Other,FAQ,30/01/2026,1042.22,1313.28,1146.21
Odisha,Berhampur,Berhampur APMC,Cabbage,Other,FAQ,30/01/2026,1190.38,1403.49,1281.93
Madhya Pradesh,Indore,Indore APMC,Cotton,Other,FAQ,30/01/2026,4530.68,5752.24,4960.45
Karnataka,Hubli,Hubli APMC,Tomato,Other,FAQ,30/01/2026,1468.56,1793.11,1604.15
Kerala,Kozhikode,Kozhikode APMC,Paddy(Common),Other,FAQ,30/01/2026,2133.7,2832.64,2361.65
Uttar Pradesh,Kanpur,Kanpur APMC,Black Gram (Urd Beans)(Whole),Other,FAQ,30/01/2026,4841.06,6161.23,5614.99
Haryana,Rohtak,Rohtak APMC,Cotton,Other,FAQ,30/01/2026,6387.9,8385.08,7397.0
Kerala,Kochi,Kochi APMC,Paddy(Common),Other,FAQ,30/01/2026,1882.29,2493.41,2123.93
Maharashtra,Kolhapur,Kolhapur APMC,Tomato,Other,FAQ,30/01/2026,1409.92,1699.66,1609.28
Assam,Dibrugarh,Dibrugarh APMC,Tea,Other,FAQ,30/01/2026,2235.92,2787.62,2562.32
Haryana,Hisar,Hisar APMC,Cotton,Other,Local,30/01/2026,5090.65,6526.56,5980.43
Andhra Pradesh,Tirupati,Tirupati APMC,Water Melon,Other,Local,30/01/2026,944.25,1296.58,1098.87
Maharashtra,Nagpur,Nagpur APMC,Cabbage,Other,Local,30/01/2026,1346.52,1643.36,1556.05
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Other,FAQ,30/01/2026,1693.34,1947.11,1811.25
Tamil Nadu,Salem,Salem APMC,Bitter gourd,Other,Local,30/01/2026,3133.08,3851.16,3539.58
Maharashtra,Nagpur,Nagpur APMC,Banana,Other,FAQ,30/01/2026,2966.66,3779.43,3168.62
Uttar Pradesh,Varanasi,Varanasi APMC,Black Gram (Urd Beans)(Whole),Other,FAQ,30/01/2026,5733.81,7173.92,6109.85
Bihar,Bhagalpur,Bhagalpur APMC,Bhindi(Ladies Finger),Other,Local,30/01/2026,2295.77,2816.67,2608.68
Assam,Dibrugarh,Dibrugarh APMC,Orange,Other,FAQ,30/01/2026,3255.12,3784.43,3578.05
Gujarat,Jamnagar,Jamnagar APMC,Coriander(Leaves),Other,FAQ,30/01/2026,3085.3,3912.92,3270.09
Assam,Jorhat,Jorhat APMC,Paddy(Common),Other,FAQ,30/01/2026,1628.86,2211.08,1850.3
West Bengal,Durgapur,Durgapur APMC,Sweet Potato,Other,FAQ,30/01/2026,1340.89,1659.62,1456.44
Madhya Pradesh,Jabalpur,Jabalpur APMC,Green Chilli,Other,Local,30/01/2026,3219.23,4160.64,3736.6
Assam,Silchar,Silchar APMC,Orange,Other,FAQ,30/01/2026,3016.62,3832.23,3427.97
Andhra Pradesh,Guntur,Guntur APMC,Water Melon,Other,Local,30/01/2026,980.17,1244.47,1117.84
Maharashtra,Mumbai,Mumbai APMC,Cabbage,Other,FAQ,30/01/2026,1553.46,1926.46,1642.2
Haryana,Karnal,Karnal APMC,Cotton,Other,FAQ,30/01/2026,5541.74,7357.5,6315.09
Rajasthan,Jaipur,Jaipur APMC,Onion,Other,Local,30/01/2026,1597.54,1890.12,1723.91
Maharashtra,Mumbai,Mumbai APMC,Tomato,Other,FAQ,30/01/2026,1468.92,1872.87,1645.72
Assam,Silchar,Silchar APMC,Tea,Other,FAQ,30/01/2026,2391.43,3231.12,2775.37
Maharashtra,Nashik,Nashik APMC,Bengal Gram(Gram)(Whole),Other,Local,30/01/2026,4243.52,4909.72,4667.49
Madhya Pradesh,Gwalior,Gwalior APMC,Onion,Other,Local,30/01/2026,1621.74,1941.07,1783.25
Madhya Pradesh,Ujjain,Ujjain APMC,Green Chilli,Other,Local,30/01/2026,3450.44,4774.79,4014.73
Uttar Pradesh,Lucknow,Lucknow APMC,Coriander(Leaves),Other,Local,30/01/2026,2941.95,3713.73,3256.9
West Bengal,Kolkata,Kolkata APMC,Sweet Potato,Other,FAQ,30/01/2026,1745.08,2219.48,1914.61
Gujarat,Surat,Surat APMC,Green Chilli,Other,FAQ,30/01/2026,4050.44,5486.3,4632.88
Madhya Pradesh,Ujjain,Ujjain APMC,Orange,Other,FAQ,30/01/2026,2552.57,3025.03,2874.96
Maharashtra,Pune,Pune APMC,Cabbage,Other,FAQ,30/01/2026,1225.48,1631.44,1416.55
Uttar Pradesh,Meerut,Meerut APMC,Black Gram (Urd Beans)(Whole),Other,Local,30/01/2026,5236.61,6674.48,5581.37
Uttar Pradesh,Kanpur,Kanpur APMC,Coriander(Leaves),Other,Local,30/01/2026,3263.67,3793.98,3438.47
Madhya Pradesh,Ujjain,Ujjain APMC,Bengal Gram(Gram)(Whole),Other,FAQ,30/01/2026,4668.7,5902.88,5129.61
Karnataka,Bangalore,Bangalore APMC,Tomato,Other,FAQ,30/01/2026,1392.16,1734.51,1537.5
Assam,Guwahati,Guwahati APMC,Tea,Other,FAQ,30/01/2026,2391.0,3243.07,2713.91
Bihar,Gaya,Gaya APMC,Bhindi(Ladies Finger),Other,FAQ,30/01/2026,2149.86,2867.48,2426.81
Maharashtra,Pune,Pune APMC,Bengal Gram(Gram)(Whole),Other,Local,30/01/2026,5289.76,6513.62,5859.24
Andhra Pradesh,Kurnool,Kurnool APMC,Water Melon,Other,FAQ,30/01/2026,1219.84,1465.58,1299.57
Haryana,Ambala,Ambala APMC,Cotton,Other,FAQ,30/01/2026,5500.44,6717.42,6067.17
Madhya Pradesh,Jabalpur,Jabalpur APMC,Onion,Other,Local,30/01/2026,1717.98,2001.46,1884.53
Tamil Nadu,Trichy,Trichy APMC,Bitter gourd,Other,Local,30/01/2026,3440.53,4172.35,3905.88
Maharashtra,Nashik,Nashik APMC,Banana,Other,FAQ,30/01/2026,2660.6,3264.36,2858.98
Gujarat,Ahmedabad,Ahmedabad APMC,Green Chilli,Other,FAQ,30/01/2026,4019.65,4651.29,4331.9
Assam,Guwahati,Guwahati APMC,Orange,Other,Local,30/01/2026,2706.38,3166.34,2979.2
Uttar Pradesh,Agra,Agra APMC,Black Gram (Urd Beans)(Whole),Other,FAQ,30/01/2026,4884.91,5678.68,5327.26
Assam,Nagaon,Nagaon APMC,Paddy(Common),Other,FAQ,30/01/2026,1802.66,2425.87,2027.53
West Bengal,Howrah,Howrah APMC,Sweet Potato,Other,FAQ,30/01/2026,1372.83,1737.65,1501.09
Bihar,Muzaffarpur,Muzaffarpur APMC,Bhindi(Ladies Finger),Other,FAQ,30/01/2026,2221.97,3015.24,2553.4
Maharashtra,Nashik,Nashik APMC,Cabbage,Other,FAQ,30/01/2026,1237.9,1655.14,1431.17
Madhya Pradesh,Indore,Indore APMC,Orange,Other,FAQ,30/01/2026,3038.49,3993.31,3526.98
West Bengal,Asansol,Asansol APMC,Tea,Other,Local,30/01/2026,2042.51,2423.17,2254.72
Nagaland,Dimapur,Dimapur APMC,Orange,Other,FAQ,30/01/2026,3176.58,3921.03,3572.56
Karnataka,Belgaum,Belgaum APMC,Green Gram (Moong)(Whole),Other,FAQ,30/01/2026,6583.89,8356.48,7166.6
Gujarat,Ahmedabad,Ahmedabad APMC,Mustard,Other,FAQ,30/01/2026,4646.49,5263.56,4925.57
Kerala,Kochi,Kochi APMC,Tea,Other,FAQ,30/01/2026,3334.95,3875.95,3533.29
Tamil Nadu,Coimbatore,Coimbatore APMC,Bhindi(Ladies Finger),Other,FAQ,30/01/2026,2774.97,3213.71,3055.18
Assam,Jorhat,Jorhat APMC,Ginger(Green),Other,FAQ,30/01/2026,5139.09,6198.0,5877.47
Uttar Pradesh,Varanasi,Varanasi APMC,Bengal Gram(Gram)(Whole),Other,FAQ,30/01/2026,5095.69,6641.95,5580.89
Tamil Nadu,Madurai,Madurai APMC,Grapes,Other,FAQ,30/01/2026,4736.85,6052.48,5180.32
Uttar Pradesh,Agra,Agra APMC,Cauliflower,Other,Local,30/01/2026,1280.38,1600.04,1469.81
Telangana,Karimnagar,Karimnagar APMC,Cotton,Other,FAQ,30/01/2026,4646.07,6386.88,5328.64
Maharashtra,Mumbai,Mumbai APMC,Bottle gourd,Other,FAQ,30/01/2026,1204.43,1636.86,1381.4
Andhra Pradesh,Visakhapatnam,Visakhapatnam APMC,Papaya,Other,Local,30/01/2026,1600.31,2121.87,1867.64
Karnataka,Hubli,Hubli APMC,Banana,Other,Local,30/01/2026,2518.88,3138.99,2729.18
Chhattisgarh,Raipur,Raipur APMC,Paddy(Common),Other,Local,30/01/2026,1741.84,2221.15,1866.01
Maharashtra,Pune,Pune APMC,Sweet Potato,Other,Local,30/01/2026,1765.88,2144.36,2000.85
Andhra Pradesh,Tirupati,Tirupati APMC,Green Chilli,Other,FAQ,30/01/2026,4320.16,5982.3,5063.67
Andhra Pradesh,Guntur,Guntur APMC,Papaya,Other,FAQ,30/01/2026,2228.97,2507.94,2378.51
Karnataka,Mangalore,Mangalore APMC,Green Gram (Moong)(Whole),Other,Local,30/01/2026,6608.99,8449.42,7516.21
Tamil Nadu,Madurai,Madurai APMC,Bhindi(Ladies Finger),Other,FAQ,30/01/2026,2731.19,3618.0,3078.65
Assam,Silchar,Silchar APMC,Ginger(Green),Other,FAQ,30/01/2026,4682.73,5672.03,4936.75
Uttar Pradesh,Agra,Agra APMC,Bengal Gram(Gram)(Whole),Other,Local,30/01/2026,4120.47,5110.9,4481.69
West Bengal,Siliguri,Siliguri APMC,Mustard,Other,FAQ,30/01/2026,4464.85,6214.63,5207.49
Kerala,Thiruvananthapuram,Thiruvananthapuram APMC,Tea,Other,FAQ,30/01/2026,2996.28,3687.3,3511.23
Andhra Pradesh,Guntur,Guntur APMC,Onion,Other,FAQ,30/01/2026,2092.19,2759.91,2457.32
Telangana,Nizamabad,Nizamabad APMC,Cotton,Other,FAQ,30/01/2026,6070.74,7301.55,6558.12
