n_soil,p_soil,k_soil,temperature,humidity,ph,rainfall,state,crop,yield_t_ha
81.0,33.6,53.2,28.6,91.6,6.16,1210.4,Tamil Nadu,watermelon,30.0
64.0,32.2,35.2,27.0,78.4,6.76,863.9,Tamil Nadu,watermelon,30.0
59.5,65.7,57.3,29.3,75.3,6.56,1042.0,Tamil Nadu,watermelon,30.0
39.5,36.9,23.3,29.2,80.2,6.26,1186.1,Tamil Nadu,watermelon,30.0
35.5,22.4,42.2,31.1,88.5,6.27,1111.8,Tamil Nadu,watermelon,30.0
59.2,37.9,48.8,30.0,62.4,7.24,1157.0,Tamil Nadu,watermelon,30.0
47.5,44.7,44.9,28.8,70.6,6.16,946.2,Tamil Nadu,muskmelon,14.4
83.5,46.5,36.3,30.3,52.2,7.07,689.0,Tamil Nadu,muskmelon,14.4
52.8,26.6,27.1,31.5,71.3,6.67,943.0,Tamil Nadu,muskmelon,14.4
69.5,40.9,27.2,31.0,71.0,5.72,885.8,Tamil Nadu,muskmelon,14.4
90.0,50.2,36.5,27.0,72.4,7.54,1007.3,Tamil Nadu,muskmelon,14.4
68.6,52.4,42.4,27.2,73.4,6.46,944.4,Tamil Nadu,muskmelon,14.4
74.6,40.6,47.3,27.8,75.6,5.5,1087.4,Tamil Nadu,muskmelon,14.4
66.9,52.0,11.0,34.3,73.9,7.05,794.0,Tamil Nadu,muskmelon,14.4
72.3,27.4,33.8,33.7,73.5,6.61,1080.5,Tamil Nadu,muskmelon,14.4
69.9,41.8,43.6,35.2,74.5,6.6,1107.6,Tamil Nadu,muskmelon,14.4
82.1,54.2,46.4,24.6,88.1,5.93,995.4,Tamil Nadu,apple,14.4
44.9,39.2,43.3,29.0,78.4,7.31,1018.0,Tamil Nadu,apple,14.4
55.1,51.6,51.9,24.3,79.8,6.85,905.4,Tamil Nadu,apple,14.4
87.5,38.2,41.3,27.5,75.1,5.95,734.0,Tamil Nadu,apple,14.4
91.9,29.8,30.1,21.5,69.9,5.84,1196.3,Tamil Nadu,apple,14.4
80.2,31.7,62.5,30.9,72.4,5.25,1293.6,Tamil Nadu,apple,14.4
32.2,20.3,50.2,35.3,86.1,6.78,1039.2,Tamil Nadu,apple,14.4
77.1,49.1,42.8,28.3,74.5,6.12,907.9,Tamil Nadu,apple,14.4
26.1,38.8,30.1,24.7,76.4,7.2,1087.7,Tamil Nadu,apple,14.4
28.6,28.1,49.4,25.1,73.2,6.78,804.7,Tamil Nadu,apple,14.4
62.1,24.0,34.0,29.0,62.3,6.72,947.1,Tamil Nadu,orange,12.0
71.0,42.7,53.6,28.4,71.6,6.56,1031.5,Tamil Nadu,orange,12.0
61.0,40.5,33.0,26.0,63.8,7.37,763.4,Tamil Nadu,orange,12.0
46.1,31.4,48.9,27.1,85.0,6.16,991.8,Tamil Nadu,orange,12.0
43.3,65.7,28.1,28.9,80.1,6.71,922.2,Tamil Nadu,orange,12.0
57.4,40.5,38.5,30.9,92.7,6.22,744.5,Tamil Nadu,orange,12.0
58.2,71.0,32.0,32.9,88.4,6.22,1035.3,Tamil Nadu,orange,12.0
92.6,35.5,38.0,26.3,66.9,6.18,766.4,Tamil Nadu,orange,12.0
60.7,30.8,42.3,23.3,77.6,6.92,650.9,Tamil Nadu,orange,12.0
67.5,54.7,27.9,33.0,78.4,6.15,941.6,Tamil Nadu,orange,12.0
71.2,40.9,45.4,25.2,76.4,5.79,933.3,Tamil Nadu,papaya,48.0
41.9,31.2,52.4,31.3,79.9,5.95,902.5,Tamil Nadu,papaya,48.0
84.3,41.7,63.2,29.2,76.5,6.35,970.0,Tamil Nadu,papaya,48.0
57.0,48.5,49.6,25.6,64.4,5.58,1026.2,Tamil Nadu,papaya,48.0
37.9,14.2,43.9,35.5,75.0,6.92,962.3,Tamil Nadu,papaya,48.0
58.0,51.0,37.1,28.8,77.6,6.17,1098.8,Tamil Nadu,papaya,48.0
56.5,30.9,45.4,25.3,75.2,6.5,1112.9,Tamil Nadu,papaya,48.0
69.5,39.7,48.2,32.2,79.5,6.51,753.2,Tamil Nadu,papaya,48.0
38.7,36.3,33.9,27.4,75.5,6.76,939.4,Tamil Nadu,papaya,48.0
69.7,40.8,20.2,25.2,73.8,5.9,1040.0,Tamil Nadu,papaya,48.0
90.6,54.6,37.9,32.5,76.2,6.33,858.0,Tamil Nadu,coconut,12.5
54.0,35.3,41.7,28.5,75.0,6.72,1128.6,Tamil Nadu,coconut,12.5
79.0,22.2,14.5,30.8,64.1,6.39,774.5,Tamil Nadu,coconut,12.5
24.0,46.5,47.6,26.3,54.3,6.23,1008.8,Tamil Nadu,coconut,12.5
30.4,42.2,39.8,29.7,76.0,6.01,1129.5,Tamil Nadu,coconut,12.5
56.8,39.7,30.7,26.7,67.9,6.41,1206.8,Tamil Nadu,coconut,12.5
32.6,20.6,54.7,27.4,69.6,7.02,859.2,Tamil Nadu,coconut,12.5
96.5,48.1,35.1,34.5,70.2,6.87,994.9,Tamil Nadu,coconut,12.5
86.0,58.7,40.3,25.7,78.7,6.16,1252.0,Tamil Nadu,coconut,12.5
62.7,35.6,41.8,24.0,67.2,7.1,851.5,Tamil Nadu,coconut,12.5
39.1,46.4,51.9,30.2,83.0,6.62,736.7,Tamil Nadu,cotton,1.95
90.0,36.1,37.5,32.0,79.4,7.23,1274.8,Tamil Nadu,cotton,1.95
47.1,51.1,40.6,28.8,87.2,7.25,1030.7,Tamil Nadu,cotton,1.95
81.5,35.6,31.6,24.9,59.3,8.03,784.5,Tamil Nadu,cotton,1.95
55.6,36.7,43.1,30.4,81.9,6.71,924.9,Tamil Nadu,cotton,1.95
65.7,37.0,56.1,29.5,80.9,7.33,1126.0,Tamil Nadu,cotton,1.95
63.6,24.4,44.0,26.0,70.8,7.29,1135.7,Tamil Nadu,cotton,1.95
60.4,43.7,57.0,28.7,95.8,7.28,685.9,Tamil Nadu,cotton,1.95
75.1,44.6,52.9,30.0,73.9,6.39,918.6,Tamil Nadu,cotton,1.95
43.0,33.0,45.9,33.0,78.2,6.4,1016.7,Tamil Nadu,cotton,1.95
83.9,32.7,38.7,28.0,68.7,6.82,931.9,Tamil Nadu,jute,2.64
68.4,29.4,35.6,30.2,72.0,7.36,890.1,Tamil Nadu,jute,2.64
64.5,51.2,25.8,22.7,62.8,7.13,867.2,Tamil Nadu,jute,2.64
111.2,33.2,41.8,32.6,91.0,7.53,1131.3,Tamil Nadu,jute,2.64
80.5,47.1,47.8,26.3,68.5,6.5,924.5,Tamil Nadu,jute,2.64
50.9,48.4,49.6,28.3,86.8,5.93,921.0,Tamil Nadu,jute,2.64
45.7,17.6,39.2,27.6,87.1,6.82,796.4,Tamil Nadu,jute,2.64
97.1,54.7,45.8,27.3,67.3,6.31,1113.3,Tamil Nadu,jute,2.64
97.7,58.5,35.1,24.6,76.1,5.62,998.5,Tamil Nadu,jute,2.64
57.0,34.4,24.1,29.5,70.7,5.92,519.2,Tamil Nadu,jute,2.64
59.4,61.3,56.6,26.6,70.2,6.73,800.2,Tamil Nadu,coffee,0.75
66.0,49.2,52.3,27.7,73.4,6.06,826.0,Tamil Nadu,coffee,0.75
55.5,44.4,49.1,25.6,86.9,6.36,946.8,Tamil Nadu,coffee,0.75
45.1,10.9,48.8,30.2,72.7,6.53,1027.4,Tamil Nadu,coffee,0.75
28.7,33.7,47.9,24.2,77.3,5.82,1020.0,Tamil Nadu,coffee,0.75
59.3,20.6,51.6,25.8,68.5,6.6,1122.3,Tamil Nadu,coffee,0.75
39.7,40.7,44.3,30.1,76.4,6.32,825.9,Tamil Nadu,coffee,0.75
61.7,27.1,10.8,29.3,82.2,5.32,798.5,Tamil Nadu,coffee,0.75
72.4,64.7,40.2,25.8,73.5,7.19,853.1,Tamil Nadu,coffee,0.75
44.0,34.2,30.5,28.4,88.0,6.66,912.1,Tamil Nadu,coffee,0.75
54.2,21.2,48.8,27.8,73.6,8.1,994.8,Tamil Nadu,tea,1.85
45.0,34.9,51.5,28.3,63.5,6.96,849.8,Tamil Nadu,tea,1.85
97.5,53.0,35.5,31.8,75.5,6.93,1022.7,Tamil Nadu,tea,1.85
43.1,32.3,50.3,27.0,71.8,6.02,1013.5,Tamil Nadu,tea,1.85
101.3,27.2,40.2,32.2,74.4,6.73,790.6,Tamil Nadu,tea,1.85
68.6,37.8,49.9,31.6,95.7,6.79,998.9,Tamil Nadu,tea,1.85
63.9,35.8,43.4,27.1,76.3,7.16,799.0,Tamil Nadu,tea,1.85
82.8,55.8,38.8,21.6,70.1,7.15,946.6,Tamil Nadu,tea,1.85
40.0,33.9,48.4,29.6,73.1,6.32,891.2,Tamil Nadu,tea,1.85
41.6,59.4,36.8,31.7,87.2,7.0,885.3,Tamil Nadu,tea,1.85
68.1,39.7,31.0,29.0,65.6,7.39,880.3,Tamil Nadu,mustard,1.44
64.0,43.4,37.4,29.8,71.2,7.24,748.1,Tamil Nadu,mustard,1.44
62.5,63.3,30.0,26.0,79.1,6.89,1002.6,Tamil Nadu,mustard,1.44
69.8,47.6,51.1,29.2,73.1,7.14,1235.0,Tamil Nadu,mustard,1.44
57.3,28.3,51.1,27.6,57.6,7.22,869.7,Tamil Nadu,mustard,1.44
58.2,44.0,41.9,30.1,71.5,7.06,911.1,Tamil Nadu,mustard,1.44
74.8,47.4,30.6,31.3,70.7,7.2,1005.1,Tamil Nadu,mustard,1.44
96.8,37.3,36.5,27.9,72.6,7.2,707.6,Tamil Nadu,mustard,1.44
38.9,27.2,49.5,33.1,74.2,6.72,960.5,Tamil Nadu,mustard,1.44
83.2,28.9,42.4,30.9,79.0,6.89,1100.2,Tamil Nadu,mustard,1.44
5.9,48.1,33.5,22.5,79.1,7.19,929.4,Tamil Nadu,tomato,30.0
79.1,59.3,53.1,32.9,80.9,6.54,709.7,Tamil Nadu,tomato,30.0
55.1,29.9,61.7,27.5,76.0,6.78,956.5,Tamil Nadu,tomato,30.0
93.9,32.5,41.9,25.8,64.4,6.19,944.4,Tamil Nadu,tomato,30.0
51.4,31.7,25.9,27.8,63.0,6.88,962.4,Tamil Nadu,tomato,30.0
30.8,36.3,32.5,29.0,85.7,5.56,967.3,Tamil Nadu,tomato,30.0
56.8,48.1,42.1,25.7,72.4,6.1,1111.4,Tamil Nadu,tomato,30.0
60.4,62.8,39.4,25.9,62.9,5.6,712.4,Tamil Nadu,tomato,30.0
65.3,46.1,24.2,30.7,71.1,6.57,1191.8,Tamil Nadu,tomato,30.0
77.9,36.8,31.1,21.5,69.2,6.39,801.9,Tamil Nadu,tomato,30.0
57.4,40.9,37.8,26.0,76.3,6.72,786.4,Tamil Nadu,onion,18.0
88.2,38.8,40.2,30.1,76.9,6.98,993.1,Tamil Nadu,onion,18.0
47.8,44.3,28.6,28.3,74.7,6.4,930.7,Tamil Nadu,onion,18.0
22.4,33.4,40.9,28.5,66.8,7.13,820.1,Tamil Nadu,onion,18.0
79.4,45.1,33.5,33.3,65.5,6.96,1100.1,Tamil Nadu,onion,18.0
46.6,56.7,37.5,28.9,77.1,6.43,1071.6,Tamil Nadu,onion,18.0
75.9,19.0,53.0,23.0,83.3,7.06,786.4,Tamil Nadu,onion,18.0
51.8,26.7,37.9,27.1,81.2,7.16,1159.4,Tamil Nadu,onion,18.0
48.8,37.5,23.2,25.6,82.7,7.31,764.8,Tamil Nadu,onion,18.0
48.2,39.7,42.8,25.6,78.4,6.26,947.8,Tamil Nadu,onion,18.0
70.9,40.1,35.6,27.7,74.3,5.61,911.2,Tamil Nadu,potato,24.0
92.0,46.7,37.0,30.1,72.3,6.39,1005.4,Tamil Nadu,potato,24.0
57.9,45.4,24.3,24.6,65.4,5.87,1209.9,Tamil Nadu,potato,24.0
104.6,47.7,45.0,22.6,70.7,5.41,856.9,Tamil Nadu,potato,24.0
56.6,34.3,20.2,30.2,66.4,5.92,1261.1,Tamil Nadu,potato,24.0
41.6,9.6,37.1,31.3,90.7,5.19,1024.5,Tamil Nadu,potato,24.0
50.7,38.7,66.4,23.5,77.0,6.03,1112.9,Tamil Nadu,potato,24.0
62.0,43.7,36.1,28.8,72.3,6.11,894.6,Tamil Nadu,potato,24.0
67.5,39.6,51.3,27.8,60.8,6.43,814.1,Tamil Nadu,potato,24.0
46.9,32.9,53.7,21.6,100.0,6.33,983.5,Tamil Nadu,potato,24.0
58.9,43.4,45.2,29.9,79.4,6.54,920.4,Tamil Nadu,brinjal,24.0
57.0,37.7,51.3,29.8,51.5,6.83,979.2,Tamil Nadu,brinjal,24.0
59.6,35.3,51.2,30.8,68.8,6.7,804.3,Tamil Nadu,brinjal,24.0
32.4,32.5,48.6,30.9,79.1,6.86,1027.4,Tamil Nadu,brinjal,24.0
47.2,45.2,48.0,30.3,84.5,6.85,1002.7,Tamil Nadu,brinjal,24.0
81.4,39.7,31.2,27.5,69.0,6.16,928.3,Tamil Nadu,brinjal,24.0
44.2,36.3,21.1,28.6,75.0,6.09,1048.9,Tamil Nadu,brinjal,24.0
78.8,20.7,32.4,25.7,67.5,6.91,920.9,Tamil Nadu,brinjal,24.0
54.7,16.0,46.4,24.3,75.5,6.64,1154.1,Tamil Nadu,brinjal,24.0
33.8,3.8,41.8,33.4,84.9,6.6,876.3,Tamil Nadu,brinjal,24.0
76.1,28.3,44.8,29.5,83.5,7.88,1008.9,Tamil Nadu,green chilli,9.6
49.8,39.7,22.3,25.9,71.7,6.24,972.9,Tamil Nadu,green chilli,9.6
43.6,53.5,40.0,28.0,72.4,6.58,1073.8,Tamil Nadu,green chilli,9.6
42.7,32.1,37.0,24.0,68.4,6.26,1081.2,Tamil Nadu,green chilli,9.6
65.3,42.3,48.5,27.6,78.1,6.45,989.8,Tamil Nadu,green chilli,9.6
48.3,10.7,38.7,32.3,82.4,6.98,1135.4,Tamil Nadu,green chilli,9.6
61.8,42.4,33.8,27.1,79.9,7.1,929.1,Tamil Nadu,green chilli,9.6
51.0,40.0,46.0,23.7,56.6,6.22,766.9,Tamil Nadu,green chilli,9.6
49.8,38.2,35.5,32.4,77.6,6.65,1043.3,Tamil Nadu,green chilli,9.6
37.2,52.5,39.2,30.0,66.4,5.72,1072.7,Tamil Nadu,green chilli,9.6
67.5,29.2,31.3,31.4,65.5,7.32,814.9,Tamil Nadu,carrot,18.0
72.8,36.1,46.0,26.4,73.7,6.52,799.7,Tamil Nadu,carrot,18.0
74.8,33.8,37.7,25.0,54.5,6.4,1311.9,Tamil Nadu,carrot,18.0
75.7,39.8,37.4,28.1,79.4,5.91,1117.1,Tamil Nadu,carrot,18.0
